Debet; Kredit
680.0;0
1405.0;0
85.0;0
1658.0;0
1132.0;0
435.0;0
180.0;0
545.0;0
382.0;0
155.0;0
345.0;0
30.0;0
917.0;0
860.0;0
55.0;0
1794.0;0
897.0;0
1495.0;0
80.0;0
1794.0;0
188.0;0
205.0;0
960.0;0
449.0;0
108.0;0
685.0;0
37.5;0
760.0;0
165362.5;0
